trial,phase,dataset,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution,accuracy,inference_ms,param_count,objective_accuracy,objective_neg_infer_ms,objective_neg_params_m,wall_time_s
80,bo,cifar10,residual,3,64,128,0.003,32,15,0.0,Adam,32,0.8558,243.62657266989117,1264842,0.8558,-243.62657266989117,-1.264842,720.1083946228027
23,bo,cifar10,residual,3,32,256,0.003,64,15,0.0,Adam,32,0.8368,137.56687153631356,344746,0.8368,-137.56687153631356,-0.344746,411.2626883983612
48,bo,cifar10,residual,3,32,64,0.01,64,15,0.2,Adam,32,0.8289,135.1115328539163,318058,0.8289,-135.1115328539163,-0.318058,411.20493030548096
72,bo,cifar10,plain,3,128,128,0.003,16,15,0.0,Adam,32,0.8077,98.21246087306645,1547658,0.8077,-98.21246087306645,-1.547658,838.8828256130219
98,bo,cifar10,depthwise_separable,4,64,32,0.003,64,12,0.3,Adam,32,0.7961,197.4696639511967,129322,0.7961,-197.4696639511967,-0.129322,332.125693321228
92,bo,cifar10,plain,4,32,256,0.003,32,15,0.0,Adam,32,0.7953,78.93037423852365,277130,0.7953,-78.93037423852365,-0.27713,412.73502588272095
35,bo,cifar10,plain,3,64,128,0.003,32,15,0.0,Adam,32,0.7895,54.62010249728337,405898,0.7895,-54.62010249728337,-0.405898,376.8326156139374
58,bo,cifar10,plain,3,32,64,0.01,16,15,0.0,SGD,32,0.7713,43.05202357220696,102602,0.7713,-43.05202357220696,-0.102602,660.4571673870087
86,bo,cifar10,plain,4,16,256,0.003,32,15,0.1,Adam,32,0.7632,82.29682648880407,80074,0.7632,-82.29682648880407,-0.080074,418.8229937553406
60,bo,cifar10,plain,4,16,32,0.003,64,15,0.0,Adam,32,0.7494,88.23422197514446,63274,0.7494,-88.23422197514446,-0.063274,273.8659088611603
46,bo,cifar10,plain,4,16,32,0.01,64,15,0.3,Adam,32,0.7478,57.07211867038859,63274,0.7478,-57.07211867038859,-0.063274,219.26398468017578
