trial,phase,dataset,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution,accuracy,inference_ms,param_count,objective_accuracy,objective_neg_infer_ms,objective_neg_params_m,wall_time_s
0,init,cifar10,depthwise_separable,1,128,64,0.0003,16,10,0.4,SGD,32,0.475,69.77313177933684,31050,0.475,-69.77313177933684,-0.03105,426.30846095085144
1,init,cifar10,plain,3,16,256,0.0001,64,15,0.1,Adam,16,0.6171,40.11738614231581,43018,0.6171,-40.11738614231581,-0.043018,195.09456419944763
2,init,cifar10,plain,2,32,32,3e-05,64,5,0.1,Adam,16,0.3866,28.94786358391866,21994,0.3866,-28.94786358391866,-0.021994,71.89813947677612
3,init,cifar10,depthwise_separable,4,8,128,0.01,32,12,0.5,SGD,32,0.6472,111.69543661235366,8514,0.6472,-111.69543661235366,-0.008514,388.0519013404846
4,init,cifar10,residual,2,32,128,0.003,16,8,0.0,Adam,16,0.7281,76.15450203878572,88234,0.7281,-76.15450203878572,-0.088234,470.5405902862549
5,init,cifar10,plain,4,128,32,1e-05,32,12,0.5,SGD,32,0.492,79.94287642627023,3858282,0.492,-79.94287642627023,-3.858282,385.1076579093933
6,init,cifar10,residual,1,8,256,0.0001,64,8,0.3,SGD,32,0.3106,39.84744963189587,6402,0.3106,-39.84744963189587,-0.006402,112.73285412788391
7,init,cifar10,depthwise_separable,3,64,64,0.003,16,15,0.2,Adam,16,0.7075,98.39160889404593,68490,0.7075,-98.39160889404593,-0.06849,855.2044658660889
8,init,cifar10,depthwise_separable,2,8,32,3e-05,32,5,0.0,Adam,32,0.2888,61.25258529745042,1570,0.2888,-61.25258529745042,-0.00157,155.83578372001648
9,init,cifar10,residual,4,64,128,0.001,64,12,0.5,SGD,16,0.7146,140.46583845821442,2512330,0.7146,-140.46583845821442,-2.51233,312.2613105773926
10,init,cifar10,plain,1,16,64,0.01,32,8,0.3,SGD,16,0.4287,10.775317845633253,2218,0.4287,-10.775317845633253,-0.002218,143.4136188030243
11,init,cifar10,residual,3,128,256,1e-05,16,12,0.2,Adam,32,0.7703,207.2762191160582,5044618,0.7703,-207.2762191160582,-5.044618,1149.2395968437195
12,init,cifar10,residual,1,32,256,1e-05,32,10,0.3,SGD,16,0.2673,42.96059524070006,31722,0.2673,-42.96059524070006,-0.031722,247.5449981689453
13,init,cifar10,plain,3,8,64,0.003,64,15,0.1,Adam,32,0.6331,43.013093474612106,8906,0.6331,-43.013093474612106,-0.008906,196.27750515937805
14,init,cifar10,plain,2,64,128,0.001,32,5,0.1,Adam,32,0.6208,40.62372354406398,93834,0.6208,-40.62372354406398,-0.093834,126.56502223014832
15,init,cifar10,depthwise_separable,4,16,32,0.0003,16,10,0.4,SGD,16,0.4684,103.08914034656482,11866,0.4684,-103.08914034656482,-0.011866,586.8644647598267
16,init,cifar10,depthwise_separable,2,64,256,0.01,64,15,0.0,SGD,32,0.7051,98.16390229237732,51914,0.7051,-98.16390229237732,-0.051914,271.3255670070648
