accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
0.811600,0.439531,10410,plain,2,16,128,0.0017175060247627027,16,9,0.21027444303035736,Adam,16
0.852700,0.514238,20826,plain,4,8,128,0.01,16,7,0.24436938426036672,SGD,16
0.656900,0.216818,2538,plain,1,8,128,0.01,16,10,0.24559312011289544,Adam,16
0.863700,0.860410,20826,plain,4,8,128,0.01,64,5,0.3503451112269696,Adam,28
0.865100,1.302303,20826,plain,4,8,128,0.004737412880653373,16,10,0.3792757802958861,Adam,28
0.693700,0.244880,3658,plain,1,16,128,0.01,16,10,0.22852766071852731,Adam,16
0.810700,0.400074,10410,plain,2,16,128,0.0018284660853452497,16,7,0.0,Adam,16
0.868500,0.915830,70186,plain,4,16,128,0.0017830546968244333,16,5,0.0,Adam,28
0.793000,0.384860,4762,plain,2,8,128,0.01,16,10,0.14853252766639796,SGD,16
0.862600,0.650759,20826,plain,4,8,128,0.0020180316244868073,64,10,0.5,Adam,28
0.800200,0.359378,10410,plain,2,16,128,0.003561598074979792,64,10,0.1504808052496714,Adam,16
0.873900,1.619542,258762,plain,4,32,128,0.01,64,5,0.26288889491128187,SGD,28
0.840600,0.452531,28618,plain,2,32,128,0.004230547474652788,16,10,0.0,Adam,16
0.873800,0.744527,258762,plain,4,32,128,0.0028310917747371885,16,10,0.16931744420747918,Adam,16
0.723700,0.261147,3658,plain,1,16,128,0.01,16,10,0.13247732115004907,Adam,16
0.678900,0.240222,2538,plain,1,8,128,0.01,16,10,0.0,Adam,16
0.667600,0.228356,2538,plain,1,8,128,0.01,64,10,0.16273696032835688,Adam,16
0.868100,0.763337,70186,plain,4,16,128,0.004160390818437323,16,5,0.5,Adam,28
0.793800,0.516248,4762,plain,2,8,128,0.01,16,5,0.0,Adam,16
0.863100,0.788541,20826,plain,4,8,128,0.0023290567086339036,16,5,0.5,Adam,28
0.747200,0.356314,4762,plain,2,8,128,0.01,64,10,0.0,Adam,16
