trial_number,seed,wall_time_s,phase,accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
0,42,53.688,init,0.387200,0.268123,5898,plain,1,32,128,0.00038456194168783454,16,7,0.3746015131473541,SGD,28
1,43,56.153,init,0.673600,0.324443,4762,plain,2,8,128,0.00011537183086445199,64,10,0.15693512558937073,Adam,16
2,44,34.638,init,0.475200,0.407687,10410,plain,2,16,128,5.193645237984704e-05,64,5,0.1030733734369278,Adam,16
3,45,67.443,init,0.862300,0.726733,20826,plain,4,8,128,0.004323314331081626,16,8,0.4283753037452698,SGD,28
4,46,46.741,init,0.797300,0.378051,10410,plain,2,16,128,0.0035008464433699893,16,6,0.029715152457356453,Adam,16
5,47,61.361,init,0.545000,1.145695,258762,plain,4,32,128,1.1439291668760707e-05,64,9,0.4387577474117279,SGD,28
6,48,44.092,init,0.108400,0.248700,2538,plain,1,8,128,0.00014594211521090696,64,6,0.2582635283470154,SGD,28
7,49,71.988,init,0.811600,0.439531,10410,plain,2,16,128,0.0017175060247627027,16,9,0.21027444303035736,Adam,16
8,50,44.862,init,0.357400,0.413576,2538,plain,1,8,128,6.192198568099466e-05,16,5,0.041794553399086,Adam,28
9,51,57.602,init,0.811300,0.691140,258762,plain,4,32,128,0.0007192322639584487,64,8,0.490143358707428,SGD,16
10,52,42.715,init,0.582800,0.248760,3658,plain,1,16,128,0.008476378048098948,64,6,0.30941644310951233,SGD,16
11,53,71.563,init,0.629900,0.675934,28618,plain,2,32,128,2.6590510786106877e-05,16,9,0.22260943055152893,Adam,28
12,54,51.474,init,0.202400,0.224705,3658,plain,1,16,128,2.2336393929953806e-05,16,7,0.3234485983848572,SGD,16
13,55,69.974,init,0.850500,0.888504,20826,plain,4,8,128,0.0017861221790600407,64,10,0.14460013806819916,Adam,28
14,56,39.591,init,0.700800,0.629145,28618,plain,2,32,128,0.0009186738392406729,64,5,0.0909939706325531,Adam,28
15,57,66.011,init,0.819100,0.614400,70186,plain,4,16,128,0.0002718126139447315,16,8,0.3769896924495697,SGD,16
16,58,57.348,bo,0.852700,0.514238,20826,plain,4,8,128,0.01,16,7,0.24436938426036672,SGD,16
17,59,69.904,bo,0.656900,0.216818,2538,plain,1,8,128,0.01,16,10,0.24559312011289544,Adam,16
18,60,59.122,bo,0.836100,0.645760,20826,plain,4,8,128,0.00189444435421776,16,6,0.0,Adam,16
19,61,72.358,bo,0.864900,0.913916,70186,plain,4,16,128,0.002871544091617345,64,10,0.09304501796055713,Adam,28
20,62,52.619,bo,0.839000,0.854052,20826,plain,4,8,128,0.01,16,5,0.3336308143206044,SGD,16
21,63,41.433,bo,0.863700,0.860410,20826,plain,4,8,128,0.01,64,5,0.3503451112269696,Adam,28
