accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
0.713500,0.156666,1322,plain,1,8,64,0.0018151813668763352,256,9,0.14061689191950416,Adam,16
0.633900,0.127685,1930,plain,1,16,64,0.005596479535846681,256,9,0.16531379581061806,SGD,16
0.709900,0.122421,2538,plain,1,8,128,0.001621105072545682,128,7,0.011578195033355887,Adam,16
0.921800,2.684789,276554,plain,4,32,256,0.005998935851778539,64,9,0.3734828662985428,SGD,28
0.912100,1.398933,258762,plain,4,32,128,0.005982111278219139,256,9,0.3427520817772765,SGD,28
0.913100,1.431334,79786,plain,4,16,256,0.003819795537286906,128,8,0.4740528057937483,Adam,28
0.915400,1.935495,65386,plain,4,16,64,0.000570548658909243,128,7,0.08350638664251364,Adam,28
0.671300,0.156465,1322,plain,1,8,64,0.003495980233535095,64,9,0.21813422295069554,Adam,28
0.775200,0.168691,11402,plain,1,32,256,0.005489067867489496,128,9,0.3297113173459509,Adam,16
0.874800,0.826047,38218,plain,2,32,256,0.003893673554860431,128,5,0.4204032173363553,Adam,16
0.824100,0.211613,3034,plain,2,8,64,0.0020690220421390646,128,5,0.2855808344262407,Adam,16
0.909500,1.639430,65386,plain,4,16,64,0.002018298168678082,128,9,0.16718181113704061,Adam,28
0.847500,0.337597,4762,plain,2,8,128,0.001621105072545682,128,8,0.15856944641135767,Adam,16
0.871200,0.603411,7658,plain,2,16,64,0.0018151813668763352,64,9,0.14061689191950416,Adam,16
0.708800,0.128804,1930,plain,1,16,64,0.0026746690299852775,128,5,0.33038928682844976,Adam,16
0.892500,0.941857,18074,plain,4,8,64,0.0028210250812997456,64,5,0.33612004651990585,SGD,28
0.873500,0.553422,15914,plain,2,16,256,0.004265723568821863,128,8,0.11210889764514514,Adam,16
0.913500,1.319502,276554,plain,4,32,256,0.005540258212573378,64,5,0.1334878315459468,Adam,28
0.876300,0.829352,18074,plain,4,8,64,0.003797722902115489,256,10,0.4619785333997585,SGD,16
0.899400,1.023738,20826,plain,4,8,128,0.003022105770587287,64,7,0.17042400674871258,Adam,16
0.865400,0.228021,15914,plain,2,16,256,0.0056129509859034945,64,8,0.4764496975348725,Adam,16
0.898000,0.994214,26330,plain,4,8,256,0.004074763249750693,64,8,0.47324653413686657,SGD,28
0.839900,0.203945,8218,plain,2,8,256,0.0055025234568501944,128,9,0.1988750745600322,SGD,16
0.904000,1.239491,70186,plain,4,16,128,0.0013639202664740746,64,7,0.4041257360321509,SGD,28
0.903700,1.460222,20826,plain,4,8,128,0.0024315357238851466,128,5,0.3362454049708012,Adam,28
0.916700,1.824075,70186,plain,4,16,128,0.00462415353021136,128,7,0.4041257360321509,Adam,28
0.892700,1.181781,18074,plain,4,8,64,0.0013278390253861766,64,5,0.4956321848914084,Adam,28
0.754000,0.123607,7114,plain,1,16,256,0.001621105072545682,64,8,0.18088405890541395,Adam,16
0.764600,0.159757,5898,plain,1,32,128,0.005237466708215717,64,8,0.24582420003792538,Adam,16
0.842400,0.335941,7658,plain,2,16,64,0.0050154373032826015,64,8,0.48607208013465975,Adam,28
0.860400,0.220283,15914,plain,2,16,256,0.005455827582985964,64,8,0.0653839575144674,SGD,16
0.909600,1.764614,26330,plain,4,8,256,0.004627725974531223,256,10,0.4619785333997585,Adam,28
0.918200,1.698783,276554,plain,4,32,256,0.005430365520453918,64,5,0.14040621264049907,Adam,28
0.743900,0.154499,5898,plain,1,32,128,0.003893673554860431,64,9,0.1430538086093433,Adam,28
0.901200,1.354640,18074,plain,4,8,64,0.005886848806360674,256,7,0.19122906013709223,Adam,28
0.905700,1.430635,65386,plain,4,16,64,0.0030827512849748964,256,10,0.4619785333997585,SGD,28
0.726700,0.125133,4970,plain,1,8,256,0.0025823454922647214,64,7,0.1893074702117237,Adam,16
0.717100,0.150521,2538,plain,1,8,128,0.004398052443757783,64,8,0.1847029211686469,Adam,16
0.734200,0.154702,3658,plain,1,16,128,0.006306523105257695,256,7,0.022455309696164494,Adam,16
0.902400,1.778547,18074,plain,4,8,64,0.0024315357238851466,64,5,0.3362454049708012,Adam,28
