trial_number,seed,wall_time_s,accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
0,42,7.556,0.661400,0.137152,4970,plain,1,8,256,0.0066873455882868115,128,5,0.24332916541908017,Adam,28
1,43,10.126,0.908400,2.638345,258762,plain,4,32,128,0.004716251099369894,256,8,0.24535349717726046,Adam,28
2,44,7.901,0.830300,0.905281,23818,plain,2,32,64,0.005656708703747076,128,5,0.4689132274874914,SGD,16
3,45,10.102,0.827300,1.113166,15914,plain,2,16,256,0.007652338585586096,256,8,0.2858640261880377,Adam,28
4,46,12.396,0.831800,1.053689,4762,plain,2,8,128,0.0063508360168059025,128,8,0.2367447005284769,SGD,16
5,47,17.982,0.913500,1.319502,276554,plain,4,32,256,0.005540258212573378,64,5,0.1334878315459468,Adam,28
6,48,13.069,0.642300,0.164989,1930,plain,1,16,64,0.005596479535846681,256,9,0.1657844986712761,SGD,16
7,49,10.637,0.891200,2.011322,249866,plain,4,32,64,0.003046461479645496,256,7,0.2603362012357689,SGD,16
8,50,19.946,0.514500,0.160724,11402,plain,1,32,256,0.0003178701673337147,64,9,0.21945573015252334,SGD,28
9,51,7.483,0.746500,0.135241,11402,plain,1,32,256,0.0043728067184313,256,5,0.010806039940165213,Adam,16
10,52,15.981,0.839100,0.477290,28618,plain,2,32,128,0.002153700881467097,64,6,0.4131459620971789,SGD,16
11,53,10.596,0.890900,1.138884,26330,plain,4,8,256,0.004091201150809115,256,7,0.44808038591988336,Adam,16
12,54,9.186,0.883500,1.216595,79786,plain,4,16,256,0.00853549670194898,256,6,0.07012454449930539,SGD,16
13,55,10.515,0.886100,1.855916,70186,plain,4,16,128,0.002347055463794754,128,6,0.2770180717695247,SGD,16
14,56,11.894,0.893100,1.877511,79786,plain,4,16,256,0.0005924443894737696,256,8,0.054287870567721774,Adam,16
15,57,16.307,0.892500,0.941857,18074,plain,4,8,64,0.0028210250812997456,64,5,0.33612004651990585,SGD,28
16,58,26.398,0.869200,0.651903,7658,plain,2,16,64,0.0029430016400891694,64,9,0.14061689191950416,Adam,28
17,59,12.356,0.726900,0.148932,4970,plain,1,8,256,0.006622545982121681,64,5,0.3297113173459509,Adam,16
18,60,10.441,0.895000,2.041952,258762,plain,4,32,128,0.005574751201889371,128,6,0.3634973071434413,SGD,16
19,61,10.006,0.804400,0.790950,23818,plain,2,32,64,0.00784114310897307,256,8,0.3843237459588285,SGD,28
20,62,24.390,0.814100,0.331796,38218,plain,2,32,256,0.006646492267870602,64,9,0.05387047297794828,SGD,28
21,63,9.203,0.851400,0.390194,23818,plain,2,32,64,0.004069804745786304,128,6,0.45800592256880396,Adam,28
22,64,7.540,0.667100,0.139314,7114,plain,1,16,256,0.008142063642813686,256,6,0.11510699544744041,Adam,28
23,65,34.060,0.908300,1.591871,249866,plain,4,32,64,0.0016780594698779623,64,10,0.01870627808808989,SGD,28
24,66,14.801,0.787500,1.248704,79786,plain,4,16,256,0.00023689361060726618,256,10,0.2774262346957417,SGD,16
25,67,20.991,0.817000,0.282732,8218,plain,2,8,256,0.0009095781291486611,64,8,0.18546114193121938,SGD,16
26,68,9.010,0.800800,0.766633,38218,plain,2,32,256,0.007226369912458538,256,7,0.4148948715662066,SGD,28
27,69,14.083,0.916700,1.824075,70186,plain,4,16,128,0.00462415353021136,128,7,0.4041257360321509,Adam,28
28,70,13.510,0.847500,0.337597,4762,plain,2,8,128,0.001621105072545682,128,8,0.15856944641135767,Adam,16
29,71,23.709,0.832500,0.489765,15914,plain,2,16,256,0.0050154373032826015,64,8,0.4764496975348725,SGD,28
