trial_number,accuracy,inference_ms,param_count,seed,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
1,0.3648,0.4436980000391486,6570.0,43,plain,2,16,32,0.0006647135865318024,64,15,0.40419867405823057,SGD,16
2,0.7208,3.207445599975472,161242.0,44,residual,4,16,64,0.008105016126411584,32,11,0.4609371175115584,Adam,32
10,0.7453,3.8776531999938015,979402.0,52,plain,4,64,64,0.00044279363365000874,16,12,0.11862454374840004,Adam,32
13,0.6127,1.475824400102283,24018.0,55,residual,3,8,96,0.002679683279831466,64,10,0.2507581473435998,SGD,32
14,0.1256,0.566465199994127,3290.0,56,plain,1,8,160,1.2345274466024455e-05,32,6,0.2611216300274022,SGD,16
20,0.7895,41.18636339996374,9912810.0,62,residual,4,128,32,9.076970265355104e-05,32,11,0.22422276098915989,Adam,32
24,0.6571,1.5378598000497732,29522.0,66,residual,3,8,224,0.009365164840715298,64,10,0.49648239805965017,Adam,32
25,0.111,1.2504301999833842,2882.0,67,depthwise_separable,3,8,32,1.0875855381980918e-05,64,5,0.15948781514688065,SGD,16
32,0.7275,2.506840000027296,170842.0,74,residual,4,16,192,0.008105016126411584,32,11,0.4609371175115584,Adam,32
58,0.6415,1.5198691999466973,24250.0,100,residual,2,16,96,0.0053063715752208465,32,11,0.4609371175115584,Adam,32
60,0.5484,1.0921742000355152,5634.0,102,depthwise_separable,3,8,96,0.0053063715752208465,64,15,0.1210276357557502,Adam,16
61,0.5595,0.4578167999716243,33994.0,103,plain,2,32,192,0.008105016126411584,32,11,0.3212096391031578,Adam,16
63,0.5767,0.6905390000392799,98154.0,105,plain,3,32,32,0.0053063715752208465,64,5,0.1210276357557502,SGD,16
64,0.4566,1.2539019999894663,2882.0,106,depthwise_separable,3,8,32,0.0053063715752208465,64,8,0.15948781514688065,Adam,16
65,0.4399,0.49103920005290996,3474.0,107,depthwise_separable,1,8,160,0.008105016126411584,32,11,0.2611216300274022,Adam,16
66,0.6004,1.350166200005333,120394.0,108,plain,3,32,192,0.0003231534343074978,16,5,0.49648239805965017,Adam,32
71,0.5833,0.6426576000012574,107050.0,113,plain,3,32,96,0.0024234491447023164,64,5,0.49648239805965017,Adam,16
75,0.5772,1.050284000019019,22642.0,117,residual,3,8,64,0.008105016126411584,32,11,0.4609371175115584,Adam,16
77,0.5923,1.210765600008017,11314.0,119,residual,2,8,224,0.009365164840715298,64,10,0.1210276357557502,Adam,32
82,0.1746,0.3994441999893752,4906.0,124,plain,2,8,128,1.2345274466024455e-05,64,10,0.46537866280178236,SGD,16
83,0.547,0.5748008000155096,18218.0,125,plain,4,8,64,0.0053063715752208465,16,12,0.11862454374840004,Adam,16
84,0.4854,1.3411859999832814,2882.0,126,depthwise_separable,3,8,32,0.008105016126411584,32,11,0.15948781514688065,SGD,32
85,0.5079,0.48048399997787783,10282.0,127,plain,3,8,96,0.00871159598064558,64,5,0.2507581473435998,SGD,16
87,0.6848,1.6446152001299197,47890.0,129,residual,4,8,192,0.008105016126411584,32,11,0.4609371175115584,Adam,32
88,0.7613,4.450757200145745,340298.0,130,residual,3,32,224,0.009365164840715298,64,10,0.1210276357557502,Adam,32
92,0.4512,0.6217672000129824,5794.0,134,residual,1,8,224,0.008105016126411584,32,10,0.49648239805965017,Adam,16
94,0.6662,1.7635069999305415,31130.0,136,residual,2,16,256,0.009365164840715298,64,15,0.40419867405823057,Adam,32
95,0.5858,1.1440396000689361,7858.0,137,residual,2,8,96,0.003927960653222749,64,10,0.2507581473435998,Adam,32
96,0.711,2.512875199827249,92442.0,138,residual,3,16,192,0.009365164840715298,32,11,0.4609371175115584,Adam,32
98,0.7569,8.72891940005502,318058.0,140,residual,3,32,64,0.008105016126411584,32,12,0.08615993560081492,Adam,32
