trial_number,accuracy,inference_ms,param_count,seed,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
0,0.6001,4.1924485999916214,1281930.0,42,residual,3,64,192,1.1527987128232396e-05,16,7,0.09170225492671691,Adam,16
1,0.3648,0.4436980000391486,6570.0,43,plain,2,16,32,0.0006647135865318024,64,15,0.40419867405823057,SGD,16
2,0.7208,3.207445599975472,161242.0,44,residual,4,16,64,0.008105016126411584,32,11,0.4609371175115584,Adam,32
3,0.5176,1.2860270000310265,51914.0,45,depthwise_separable,2,64,256,0.0020736445177905022,64,12,0.36450358402049365,SGD,16
4,0.2162,1.9106574000070395,21642.0,46,plain,1,128,128,2.284455685002053e-05,32,13,0.24689779818219537,SGD,32
5,0.335,1.45339740000054,21266.0,47,residual,3,8,32,7.40038575908737e-05,32,11,0.43573029509385885,SGD,16
6,0.5657,4.631619400024647,92330.0,48,residual,1,64,160,0.000178744632562384,64,15,0.16160146601037761,Adam,32
7,0.5914,1.368908200020087,26794.0,49,plain,2,32,96,0.0053063715752208465,64,15,0.1210276357557502,Adam,32
8,0.5215,1.9002979999750096,16410.0,50,depthwise_separable,3,16,160,0.001078184503512226,32,12,0.08718321450249572,SGD,16
9,0.3522,1.6659168000296631,41642.0,51,depthwise_separable,4,32,64,1.9024283247489577e-05,32,8,0.17460478730633044,Adam,16
10,0.7453,3.8776531999938015,979402.0,52,plain,4,64,64,0.00044279363365000874,16,12,0.11862454374840004,Adam,32
11,0.5146,1.3488742000190541,33994.0,53,plain,2,32,192,0.0024234491447023164,32,7,0.36122605763075266,SGD,16
12,0.3907,2.89615059996504,341994.0,54,residual,2,64,224,7.64445760039975e-05,32,6,0.2784006312291751,SGD,16
13,0.6127,1.475824400102283,24018.0,55,residual,3,8,96,0.002679683279831466,64,10,0.2507581473435998,SGD,32
14,0.1256,0.566465199994127,3290.0,56,plain,1,8,160,1.2345274466024455e-05,32,6,0.2611216300274022,SGD,16
15,0.3349,1.6849752000016451,11610.0,57,depthwise_separable,3,16,96,0.00020745039310086563,64,14,0.347987103046849,SGD,32
16,0.3169,0.9608595999998215,6994.0,58,residual,2,8,64,0.00011692786931726741,16,5,0.020364401159485068,SGD,16
17,0.4859,0.8581250000388536,33994.0,59,plain,2,32,192,0.0003231534343074978,16,5,0.3212096391031578,Adam,16
18,0.2447,2.0766335999724106,313610.0,60,residual,3,32,32,2.006014205500069e-05,64,5,0.15948781514688065,SGD,16
19,0.7146,2.635143999970751,173242.0,61,residual,4,16,224,0.009365164840715298,64,8,0.46537866280178236,SGD,32
20,0.7895,41.18636339996374,9912810.0,62,residual,4,128,32,9.076970265355104e-05,32,11,0.22422276098915989,Adam,32
21,0.3862,1.2174937999807298,80490.0,63,plain,2,64,32,2.6851901546478057e-05,16,5,0.35048456572956,Adam,16
22,0.6094,3.339966599989566,81034.0,64,residual,2,32,32,0.0021450664374153845,64,6,0.24631255214542958,Adam,32
23,0.264,1.269090400001005,12514.0,65,depthwise_separable,3,8,256,1.0875855381980918e-05,16,10,0.49648239805965017,Adam,16
24,0.6571,1.5378598000497732,29522.0,66,residual,3,8,224,0.009365164840715298,64,10,0.49648239805965017,Adam,32
25,0.111,1.2504301999833842,2882.0,67,depthwise_separable,3,8,32,1.0875855381980918e-05,64,5,0.15948781514688065,SGD,16
26,0.4658,2.183721000015794,21994.0,68,plain,2,32,32,0.0007730292273498736,32,5,0.35048456572956,Adam,16
27,0.5735,0.8644597999846155,98154.0,69,plain,3,32,32,0.0053063715752208465,64,5,0.1210276357557502,SGD,16
28,0.3417,0.5942837999937183,22346.0,70,plain,4,8,160,1.2345274466024455e-05,32,8,0.17460478730633044,Adam,16
29,0.6294,2.5749326000259316,315306.0,71,residual,2,64,32,0.0021450664374153845,64,6,0.09170225492671691,Adam,16
30,0.4391,1.1798125999885087,22874.0,72,residual,2,16,64,0.00011692786931726741,16,15,0.40419867405823057,SGD,16
31,0.4823,1.4167869999619143,12794.0,73,depthwise_separable,2,16,256,0.0020736445177905022,64,12,0.46537866280178236,SGD,32
32,0.7275,2.506840000027296,170842.0,74,residual,4,16,192,0.008105016126411584,32,11,0.4609371175115584,Adam,32
33,0.5,1.0512670000061917,29194.0,75,plain,2,32,128,0.0053063715752208465,64,8,0.46537866280178236,Adam,32
34,0.5894,1.6955480000033276,24018.0,76,residual,3,8,96,0.002679683279831466,64,10,0.3137790400420317,SGD,32
35,0.5882,1.3551071999172564,81034.0,77,residual,2,32,32,0.0021450664374153845,64,6,0.3212096391031578,Adam,16
36,0.3442,0.6223852000402985,13450.0,78,plain,2,16,192,0.00020745039310086563,32,7,0.347987103046849,SGD,16
37,0.5752,2.0489718000462744,21466.0,79,depthwise_separable,4,16,160,0.008105016126411584,32,11,0.4609371175115584,SGD,16
38,0.3699,4.124396399827674,87530.0,80,residual,1,64,96,0.000178744632562384,64,15,0.16160146601037761,SGD,32
39,0.4175,6.9564225998547045,333706.0,81,plain,2,128,128,0.00011692786931726741,32,13,0.09406057986188066,SGD,32
40,0.6485,5.472035199891252,2495242.0,82,residual,4,64,64,0.008105016126411584,16,11,0.4609371175115584,Adam,16
41,0.2591,1.269648000030429,12514.0,83,depthwise_separable,3,8,256,1.0875855381980918e-05,16,10,0.49648239805965017,Adam,16
42,0.4646,1.1665665999607882,9762.0,84,depthwise_separable,3,8,192,0.0024234491447023164,64,7,0.49648239805965017,Adam,16
43,0.456,2.541274599956523,46090.0,85,depthwise_separable,4,32,96,0.00020745039310086563,32,13,0.34236558627693964,SGD,32
44,0.3131,1.754816799868422,11610.0,86,depthwise_separable,3,16,96,0.00020745039310086563,64,14,0.347987103046849,SGD,32
45,0.3668,9.947202200026368,1273386.0,87,residual,3,64,160,3.0750403441204654e-05,64,10,0.2507581473435998,SGD,32
46,0.5776,1.4031149999864283,81034.0,88,residual,2,32,32,0.0003231534343074978,64,5,0.15948781514688065,Adam,16
47,0.4398,2.2291184000423527,80490.0,89,plain,2,64,32,2.6851901546478057e-05,16,12,0.35048456572956,Adam,32
48,0.4505,1.6026299999211915,21498.0,90,residual,2,16,32,0.0006647135865318024,64,15,0.40419867405823057,SGD,32
49,0.4126,0.8244841999621713,7618.0,91,depthwise_separable,2,8,256,0.0021450664374153845,64,12,0.3212096391031578,SGD,16
50,0.1606,0.5064822000058484,21994.0,92,plain,2,32,32,1.0875855381980918e-05,16,5,0.15948781514688065,SGD,16
51,0.6607,3.6189910000248346,1264842.0,93,residual,3,64,128,0.0021450664374153845,16,6,0.4609371175115584,Adam,16
