trial_number,accuracy,inference_ms,param_count,seed,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
1,0.7353,0.3998433999986446,6282.0,43,plain,2,16,32,0.0006647135865318024,64,15,0.40419867405823057,SGD,16
10,0.9106,2.256988000000092,978250.0,52,plain,4,64,64,0.00044279363365000874,16,12,0.11862454374840004,Adam,32
17,0.8413,0.41089200001533754,33418.0,59,plain,2,32,192,0.0003231534343074978,16,5,0.3212096391031578,Adam,16
20,0.923,24.659027999978207,9910506.0,62,residual,4,128,32,9.076970265355104e-05,32,11,0.22422276098915989,Adam,32
26,0.8362,0.5201779999897553,21418.0,68,plain,2,32,32,0.0007730292273498736,16,5,0.35048456572956,Adam,16
51,0.9044,1.9372851999141858,87354.0,93,residual,3,16,128,0.008105016126411584,16,11,0.3212096391031578,Adam,32
52,0.8383,0.5269770000013523,7386.0,94,plain,3,8,32,0.0007730292273498736,64,7,0.35048456572956,Adam,16
61,0.8688,0.7187549999071052,62986.0,103,plain,4,16,32,0.0021450664374153845,64,6,0.4609371175115584,Adam,16
63,0.8599,0.6695296000143571,97578.0,105,plain,3,32,32,0.0053063715752208465,64,5,0.1210276357557502,SGD,16
65,0.7818,1.1448520000158169,2290.0,107,depthwise_separable,2,8,64,0.0024234491447023164,64,7,0.020364401159485068,Adam,16
66,0.893,1.3193347999913385,267658.0,108,plain,4,32,192,0.0003231534343074978,16,5,0.4609371175115584,Adam,32
67,0.8452,0.8652392000512918,10306.0,109,residual,2,8,192,0.002679683279831466,64,10,0.3137790400420317,SGD,16
68,0.8285,1.2335644000158936,6922.0,110,depthwise_separable,2,32,32,0.0007730292273498736,16,5,0.35048456572956,Adam,16
71,0.8135,1.0467731999524403,5986.0,113,residual,2,8,32,0.0003231534343074978,32,5,0.15948781514688065,Adam,16
73,0.8386,0.5338951999910932,8762.0,115,plain,3,8,64,0.0007730292273498736,64,12,0.11862454374840004,SGD,16
75,0.6083,0.2994785999908345,1322.0,117,plain,1,8,64,0.00044279363365000874,16,12,0.11862454374840004,Adam,32
76,0.8703,0.7845022000510653,35530.0,118,plain,3,16,160,0.008105016126411584,64,11,0.3212096391031578,SGD,32
77,0.8911,2.266079400007584,18778.0,119,depthwise_separable,4,16,128,0.008105016126411584,32,11,0.4609371175115584,SGD,32
78,0.9,1.8175108000250475,47746.0,120,residual,4,8,192,0.008105016126411584,32,11,0.4520793472468742,Adam,32
79,0.8608,0.7882060000592901,23578.0,121,plain,4,8,192,0.002679683279831466,64,8,0.4609371175115584,SGD,32
84,0.905,1.3453407999586489,267658.0,126,plain,4,32,192,0.0007730292273498736,64,7,0.4609371175115584,Adam,32
86,0.8162,1.0766917999972065,5986.0,128,residual,2,8,32,0.00044279363365000874,16,5,0.15948781514688065,Adam,32
87,0.8458,1.9216486000295845,9746.0,129,depthwise_separable,4,8,160,0.008105016126411584,32,11,0.4609371175115584,SGD,16
89,0.8859,1.5100646000246343,21122.0,131,residual,3,8,32,0.003927960653222749,32,11,0.4609371175115584,Adam,32
90,0.9066,2.3559078000580485,170554.0,132,residual,4,16,192,0.008105016126411584,32,11,0.4609371175115584,SGD,32
91,0.1649,0.2466753999433422,1322.0,133,plain,1,8,64,1.2345274466024455e-05,32,11,0.4609371175115584,Adam,16
92,0.872,1.0546949999807111,28090.0,134,residual,2,16,192,0.002679683279831466,64,11,0.4609371175115584,Adam,16
93,0.9147,21.830566800057568,9927242.0,135,residual,4,128,64,0.003927960653222749,32,8,0.22422276098915989,SGD,32
94,0.8994,1.5287295999369235,30842.0,136,residual,2,16,256,0.008105016126411584,32,15,0.40419867405823057,Adam,32
95,0.8863,0.8413136000090162,267658.0,137,plain,4,32,192,0.008105016126411584,32,10,0.3212096391031578,SGD,16
