trial_number,accuracy,inference_ms,param_count,seed,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
0,0.8822,3.5100133999958416,1280778.0,42,residual,3,64,192,1.1527987128232396e-05,16,7,0.09170225492671691,Adam,16
1,0.7353,0.3998433999986446,6282.0,43,plain,2,16,32,0.0006647135865318024,64,15,0.40419867405823057,SGD,16
2,0.8936,2.418486399998983,160954.0,44,residual,4,16,64,0.008105016126411584,32,11,0.4609371175115584,Adam,32
3,0.842,1.6943073999937042,50762.0,45,depthwise_separable,2,64,256,0.0020736445177905022,64,12,0.36450358402049365,SGD,16
4,0.2534,1.0388578000001871,19338.0,46,plain,1,128,128,2.284455685002053e-05,32,13,0.24689779818219537,SGD,32
5,0.7409,1.260763200006295,21122.0,47,residual,3,8,32,7.40038575908737e-05,32,11,0.43573029509385885,SGD,16
6,0.8396,2.696504000002278,91178.0,48,residual,1,64,160,0.000178744632562384,64,15,0.16160146601037761,Adam,32
7,0.8248,0.6437945999969088,26218.0,49,plain,2,32,96,0.0053063715752208465,64,15,0.1210276357557502,Adam,32
8,0.8449,1.4698277999978018,16122.0,50,depthwise_separable,3,16,160,0.001078184503512226,32,12,0.08718321450249572,SGD,16
9,0.7797,2.0718526000018755,41066.0,51,depthwise_separable,4,32,64,1.9024283247489577e-05,32,8,0.17460478730633044,Adam,16
10,0.9106,2.256988000000092,978250.0,52,plain,4,64,64,0.00044279363365000874,16,12,0.11862454374840004,Adam,32
11,0.8006,0.5221840000021984,33418.0,53,plain,2,32,192,0.0024234491447023164,32,7,0.36122605763075266,SGD,16
12,0.7471,1.9154357999968852,340842.0,54,residual,2,64,224,7.64445760039975e-05,32,6,0.2784006312291751,SGD,16
13,0.8576,1.474731599995721,23874.0,55,residual,3,8,96,0.002679683279831466,64,10,0.2507581473435998,SGD,32
14,0.1334,0.24997299999813552,3146.0,56,plain,1,8,160,1.2345274466024455e-05,32,6,0.2611216300274022,SGD,16
15,0.6069,1.7689394000044558,11322.0,57,depthwise_separable,3,16,96,0.00020745039310086563,64,14,0.347987103046849,SGD,32
16,0.6696,0.8733158000031835,6850.0,58,residual,2,8,64,0.00011692786931726741,16,5,0.020364401159485068,SGD,16
17,0.8413,0.41089200001533754,33418.0,59,plain,2,32,192,0.0003231534343074978,16,5,0.3212096391031578,Adam,16
18,0.4805,1.5491852000004656,313034.0,60,residual,3,32,32,2.006014205500069e-05,64,5,0.15948781514688065,SGD,16
19,0.9037,1.9674030000032872,172954.0,61,residual,4,16,224,0.009365164840715298,64,8,0.46537866280178236,SGD,32
20,0.923,24.659027999978207,9910506.0,62,residual,4,128,32,9.076970265355104e-05,32,11,0.22422276098915989,Adam,32
21,0.7259,0.6392503999832115,79338.0,63,plain,2,64,32,2.6851901546478057e-05,16,5,0.35048456572956,Adam,16
22,0.8516,2.9302406000115298,80458.0,64,residual,2,32,32,0.0021450664374153845,64,6,0.24631255214542958,Adam,32
23,0.6391,1.5622051999780524,12370.0,65,depthwise_separable,3,8,256,1.0875855381980918e-05,16,10,0.49648239805965017,Adam,16
24,0.8354,4.9334603999832325,314154.0,66,residual,2,64,32,9.076970265355104e-05,32,5,0.35048456572956,Adam,32
25,0.0936,2.5433893999979773,2738.0,67,depthwise_separable,3,8,32,1.0875855381980918e-05,64,5,0.15948781514688065,SGD,16
26,0.8362,0.5201779999897553,21418.0,68,plain,2,32,32,0.0007730292273498736,16,5,0.35048456572956,Adam,16
27,0.8366,0.7082171999845741,97578.0,69,plain,3,32,32,0.0053063715752208465,64,5,0.1210276357557502,SGD,16
28,0.7554,0.656139799981247,22202.0,70,plain,4,8,160,1.2345274466024455e-05,32,8,0.17460478730633044,Adam,16
29,0.8484,1.068264800000179,91178.0,71,residual,1,64,160,0.000178744632562384,64,15,0.09170225492671691,Adam,16
30,0.8242,1.0057492000050843,22586.0,72,residual,2,16,64,0.00011692786931726741,16,15,0.40419867405823057,SGD,16
31,0.2054,1.9211663999958546,80154.0,73,residual,3,16,32,2.006014205500069e-05,64,5,0.46537866280178236,SGD,32
32,0.8953,2.641267599970888,170554.0,74,residual,4,16,192,0.008105016126411584,32,11,0.4609371175115584,Adam,32
33,0.7447,3.0291827999826637,88778.0,75,residual,1,64,128,0.000178744632562384,64,8,0.46537866280178236,Adam,32
34,0.8726,1.5386774000126024,23874.0,76,residual,3,8,96,0.002679683279831466,64,10,0.3137790400420317,SGD,32
35,0.8648,1.3998741999712365,80458.0,77,residual,2,32,32,0.0021450664374153845,64,6,0.3212096391031578,Adam,16
36,0.6583,0.4634720000158268,13162.0,78,plain,2,16,192,0.00020745039310086563,32,7,0.347987103046849,SGD,16
37,0.873,2.019434199984971,21178.0,79,depthwise_separable,4,16,160,0.008105016126411584,32,11,0.4609371175115584,SGD,16
38,0.6527,3.1719847999975173,86378.0,80,residual,1,64,96,0.000178744632562384,64,15,0.16160146601037761,SGD,32
39,0.68,3.2811168000225734,331402.0,81,plain,2,128,128,0.00011692786931726741,32,13,0.09406057986188066,SGD,32
40,0.8789,4.625870800004122,2494090.0,82,residual,4,64,64,0.008105016126411584,16,11,0.4609371175115584,Adam,16
41,0.6298,1.6216489999897021,12370.0,83,depthwise_separable,3,8,256,1.0875855381980918e-05,16,10,0.49648239805965017,Adam,16
