accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
0.803900,0.455336,4762,plain,2,8,128,0.009707273263705084,16,9,0.2826180532405944,SGD,16
0.878300,1.199463,258762,plain,4,32,128,0.004700862554645321,64,8,0.02915137084453301,Adam,28
0.844900,0.629373,20826,plain,4,8,128,0.0022768243970183325,64,6,0.27851607617063917,Adam,16
0.856400,0.691835,70186,plain,4,16,128,0.0011402477993099614,16,6,0.14469643308342145,Adam,16
0.862300,0.699438,20826,plain,4,8,128,0.009675422227017758,16,8,0.2001420524037974,Adam,28
0.695300,0.290131,5898,plain,1,32,128,0.007283091306641691,64,8,0.020999429758360888,Adam,16
0.700900,0.453089,4762,plain,2,8,128,0.007779286233544142,64,9,0.2826180532405944,SGD,28
0.853200,0.635318,20826,plain,4,8,128,0.0019901424177367322,16,7,0.010697641649438955,SGD,16
0.868000,0.774968,258762,plain,4,32,128,0.0015820682131880758,16,5,0.15286526740010337,SGD,16
0.680200,0.256730,3658,plain,1,16,128,0.007583296523452885,64,9,0.2886188756307776,Adam,16
0.869400,0.847338,258762,plain,4,32,128,0.001954440691441156,16,9,0.2767897003289979,Adam,16
0.656100,0.264233,2538,plain,1,8,128,0.007860415277873163,16,6,0.3444939741956642,Adam,16
0.821900,0.495558,28618,plain,2,32,128,0.0012878620067488407,16,6,0.14469643308342145,Adam,16
0.870900,0.849545,258762,plain,4,32,128,0.008929337713887703,16,8,0.2800123472951921,SGD,16
0.868400,0.865662,70186,plain,4,16,128,0.0038288216197669466,16,5,0.15286526740010337,SGD,28
0.819300,0.454991,10410,plain,2,16,128,0.007743887859132244,16,8,0.004859096464726154,SGD,16
0.877800,1.166166,258762,plain,4,32,128,0.007141316051707513,16,8,0.13509717061465876,Adam,28
0.856000,0.658537,20826,plain,4,8,128,0.0021666439887814805,16,8,0.2518228840233986,Adam,16
