trial_number,seed,wall_time_s,accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
0,42,86.700,0.608000,0.424926,3658,plain,1,16,128,0.007583296523452885,64,9,0.3342014808952358,Adam,28
1,43,71.263,0.861600,0.887882,70186,plain,4,16,128,0.003551714421617385,16,6,0.23554810307156626,Adam,16
2,44,91.516,0.803900,0.455336,4762,plain,2,8,128,0.009707273263705084,16,9,0.2826180532405944,SGD,16
3,45,46.073,0.670400,0.797764,28618,plain,2,32,128,0.008932280002008755,64,5,0.3824994287080128,SGD,28
4,46,67.541,0.782800,0.486212,28618,plain,2,32,128,0.007786051135766881,64,9,0.3173591600002954,SGD,16
5,47,70.986,0.860800,0.761009,70186,plain,4,16,128,0.001954440691441156,64,9,0.2767897003289979,Adam,16
6,48,77.775,0.641100,0.767699,3658,plain,1,16,128,0.004672542827233071,16,9,0.2796035803727068,SGD,16
7,49,79.772,0.859300,1.292087,258762,plain,4,32,128,0.00044759962021441555,16,8,0.1519750490313061,SGD,16
8,50,57.392,0.450300,0.331515,3658,plain,1,16,128,0.001551352025754803,64,7,0.015408917283969703,SGD,16
9,51,71.858,0.574100,0.311725,3658,plain,1,16,128,0.006833659042892122,64,9,0.21835869461618118,SGD,16
10,52,52.472,0.770200,0.739347,10410,plain,2,16,128,0.007450173937519094,16,6,0.1072923364097646,SGD,28
11,53,62.330,0.849800,0.764342,20826,plain,4,8,128,0.009675422227017758,64,9,0.20426432186231808,SGD,28
12,54,56.751,0.855200,0.715092,20826,plain,4,8,128,0.0032649953278001383,64,8,0.42670153663408306,Adam,28
13,55,76.597,0.857900,0.734291,70186,plain,4,16,128,0.0037108924632883403,16,7,0.11696974293267037,Adam,16
14,56,61.433,0.878300,1.199463,258762,plain,4,32,128,0.004700862554645321,64,8,0.02915137084453301,Adam,28
15,57,72.643,0.846600,0.637600,20826,plain,4,8,128,0.0019028188772520142,16,8,0.14069194601099827,SGD,16
16,58,42.879,0.806200,0.489257,28618,plain,2,32,128,0.001307915838301362,16,5,0.1467968788833418,Adam,16
17,59,36.984,0.535900,0.318756,5898,plain,1,32,128,0.004762292212997078,64,5,0.33095825736344753,SGD,16
18,60,43.755,0.844900,0.629373,20826,plain,4,8,128,0.0022768243970183325,64,6,0.27851607617063917,Adam,16
19,61,43.275,0.749700,0.510687,10410,plain,2,16,128,0.006701441806878278,16,5,0.39194910455320675,Adam,28
